page,signal_id,family,signal,status,evidence
/a2a/,OP073,aeo_faq,Direct who answer,PASS,visible=True; schema=True
/a2a/,OP074,aeo_faq,Direct why answer,PASS,visible=True; schema=True
/a2a/,OP075,aeo_faq,Direct how answer,PASS,visible=True; schema=True
/a2a/,OP076,aeo_faq,Direct where answer,PASS,visible=True; schema=True
/a2a/,OP077,aeo_faq,Direct when answer,PASS,visible=True; schema=True
/a2a/,OP078,aeo_faq,Direct cost answer,PASS,visible=True; schema=True
/a2a/,OP079,aeo_faq,Direct eligibility answer,PASS,visible=True; schema=True
/a2a/,OP080,aeo_faq,Direct next-step answer,PASS,visible=True; schema=True
/a2a/,OP081,aeo_faq,FAQ visible,PASS,visible=True; schema=True
/a2a/,OP082,aeo_faq,10 contextual FAQs,PASS,visible=True; schema=True
/a2a/,OP083,aeo_faq,FAQ questions unique,PASS,visible=True; schema=True
/a2a/,OP084,aeo_faq,FAQ answers direct,PASS,visible=True; schema=True
/a2a/,OP085,aeo_faq,FAQ no contradiction,PASS,visible=True; schema=True
/a2a/,OP086,aeo_faq,FAQ schema parity,PASS,visible=True; schema=True
/a2a/,OP087,aeo_faq,Intent mapping,PARTIAL,present in page; semantic quality requires review
/a2a/,OP088,aeo_faq,TOF/MOF/BOF role,PARTIAL,present in page; semantic quality requires review
/a2a/,OP089,aeo_faq,Question hub linkage,PASS,visible=True; schema=True
/a2a/,OP090,aeo_faq,Answer block quotability,PASS,visible=True; schema=True
/a2a/,OP091,aeo_faq,Conversational readability,PARTIAL,present in page; semantic quality requires review
/a2a/,OP092,schema_org,JSON-LD present,PASS,1 JSON-LD block(s)
/a2a/,OP093,schema_org,WebPage type,PASS,1 JSON-LD block(s)
/a2a/,OP094,schema_org,Correct page subtype,PASS,1 JSON-LD block(s)
/a2a/,OP095,schema_org,Organization reference,PASS,1 JSON-LD block(s)
/a2a/,OP096,schema_org,WebSite reference,PASS,1 JSON-LD block(s)
/a2a/,OP097,schema_org,mainEntity,PASS,1 JSON-LD block(s)
/a2a/,OP098,schema_org,about,PASS,1 JSON-LD block(s)
/a2a/,OP099,schema_org,mentions,PASS,1 JSON-LD block(s)
/a2a/,OP100,schema_org,BreadcrumbList,PASS,breadcrumb
/a2a/,OP101,schema_org,Service schema,PASS,1 JSON-LD block(s)
/a2a/,OP102,schema_org,Offer schema,PASS,1 JSON-LD block(s)
/a2a/,OP103,schema_org,OfferCatalog schema,PASS,1 JSON-LD block(s)
/a2a/,OP104,schema_org,FAQPage schema,PASS,visible=True; schema=True
/a2a/,OP105,schema_org,DefinedTerm schema,PASS,1 JSON-LD block(s)
/a2a/,OP106,schema_org,DefinedTermSet schema,PASS,1 JSON-LD block(s)
/a2a/,OP107,schema_org,BlogPosting schema,PASS,1 JSON-LD block(s)
/a2a/,OP108,schema_org,Article dates,PASS,1 JSON-LD block(s)
/a2a/,OP109,schema_org,ImageObject,PASS,1 JSON-LD block(s)
/a2a/,OP110,schema_org,inLanguage,PASS,lang=ro
/a2a/,OP111,schema_org,Stable @id,PASS,1 JSON-LD block(s)
/a2a/,OP112,schema_org,Cross-page @id consistency,PASS,1 JSON-LD block(s)
/a2a/,OP113,schema_org,Visible-schema parity,PASS,1 JSON-LD block(s)
/a2a/,OP114,schema_org,No fake ratings,PASS,1 JSON-LD block(s)
/a2a/,OP115,schema_org,No invented schema types,PASS,1 JSON-LD block(s)
/a2a/,OP116,schema_org,No unsupported claims in schema,PASS,1 JSON-LD block(s)
/a2a/,OP117,geo_ere,Primary entity ID,PARTIAL,present in page; semantic quality requires review
/a2a/,OP118,geo_ere,Provider relationship,PARTIAL,present in page; semantic quality requires review
/a2a/,OP119,geo_ere,Provider inverse,PARTIAL,present in page; semantic quality requires review
/a2a/,OP120,geo_ere,Service-offer relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP121,geo_ere,Service-SOC relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP122,geo_ere,SOC-RRVI relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP123,geo_ere,Service-audience relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP124,geo_ere,Service-jurisdiction relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP125,geo_ere,Jurisdiction-regulation relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP126,geo_ere,Service-autonomy relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP127,geo_ere,Action-autonomy relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP128,geo_ere,Request-service relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP129,geo_ere,Request-quote relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP130,geo_ere,Quote-order relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP131,geo_ere,Order-delivery relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP132,geo_ere,Action-evidence relation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP133,geo_ere,Cardinality available,PARTIAL,present in page; semantic quality requires review
/a2a/,OP134,geo_ere,Inverse relationships,PARTIAL,present in page; semantic quality requires review
/a2a/,OP135,geo_ere,Cross-source entity match,PARTIAL,present in page; semantic quality requires review
/a2a/,OP136,geo_ere,ERE reconstruction,PARTIAL,present in page; semantic quality requires review
/a2a/,OP137,aio_ai_readability,AI readable summary,PARTIAL,present in page; semantic quality requires review
/a2a/,OP138,aio_ai_readability,Canonical definition,PARTIAL,present in page; semantic quality requires review
/a2a/,OP139,aio_ai_readability,Context completeness,PARTIAL,present in page; semantic quality requires review
/a2a/,OP140,aio_ai_readability,Entity disambiguation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP141,aio_ai_readability,Claim attribution,PARTIAL,present in page; semantic quality requires review
/a2a/,OP142,aio_ai_readability,Claim evidence link,PARTIAL,present in page; semantic quality requires review
/a2a/,OP143,aio_ai_readability,Citation-ready sentence,PARTIAL,present in page; semantic quality requires review
/a2a/,OP144,aio_ai_readability,Comparison-ready fields,PARTIAL,present in page; semantic quality requires review
/a2a/,OP145,aio_ai_readability,Decision-ready fields,PARTIAL,present in page; semantic quality requires review
/a2a/,OP146,aio_ai_readability,Action boundary clarity,PARTIAL,present in page; semantic quality requires review
/a2a/,OP147,aio_ai_readability,Escalation clarity,PARTIAL,present in page; semantic quality requires review
/a2a/,OP148,aio_ai_readability,Machine-readable mirror,PARTIAL,present in page; semantic quality requires review
/a2a/,OP149,aio_ai_readability,Cross-source consistency,PARTIAL,present in page; semantic quality requires review
/a2a/,OP150,aio_ai_readability,No ambiguous pronouns in key facts,PARTIAL,present in page; semantic quality requires review
/a2a/,OP151,aio_ai_readability,No hidden critical facts,PARTIAL,present in page; semantic quality requires review
/a2a/,OP152,aio_ai_readability,AI summary fidelity,PARTIAL,present in page; semantic quality requires review
/a2a/,OP153,internal_linking,Parent hub link,PARTIAL,present in page; semantic quality requires review
/a2a/,OP154,internal_linking,Child page links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP155,internal_linking,Sibling contextual links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP156,internal_linking,Canonical anchor text,PARTIAL,present in page; semantic quality requires review
/a2a/,OP157,internal_linking,No generic click-here dominance,PARTIAL,present in page; semantic quality requires review
/a2a/,OP158,internal_linking,No broken internal links,PASS,27 internal links
/a2a/,OP159,internal_linking,No orphan page,PARTIAL,present in page; semantic quality requires review
/a2a/,OP160,internal_linking,Breadcrumb link integrity,PASS,breadcrumb
/a2a/,OP161,internal_linking,Footer link integrity,PARTIAL,present in page; semantic quality requires review
/a2a/,OP162,internal_linking,Related content block,PARTIAL,present in page; semantic quality requires review
/a2a/,OP163,internal_linking,Intent cross-links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP164,internal_linking,Product-service separation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP165,internal_linking,Innovation proof links,PARTIAL,present in page; semantic quality requires review
/a2a/,OP166,internal_linking,Contact CTA integrity,PASS,CTA language
/a2a/,OP167,internal_linking,No excessive internal redirects,PARTIAL,present in page; semantic quality requires review
/a2a/,OP168,trust_evidence,Legal entity visible,PASS,trust/evidence cues
/a2a/,OP169,trust_evidence,Contact visible,PASS,contact
/a2a/,OP170,trust_evidence,Author/publisher visible,PASS,trust/evidence cues
/a2a/,OP171,trust_evidence,Date published visible,PASS,trust/evidence cues
/a2a/,OP172,trust_evidence,Date modified visible,PASS,trust/evidence cues
/a2a/,OP173,trust_evidence,Claim source visible,PASS,trust/evidence cues
/a2a/,OP174,trust_evidence,Proof link visible,PASS,trust/evidence cues
/a2a/,OP175,trust_evidence,Document ID visible,PASS,trust/evidence cues
/a2a/,OP176,trust_evidence,Version visible,PASS,trust/evidence cues
/a2a/,OP177,trust_evidence,SHA only if real,PASS,trust/evidence cues
/a2a/,OP178,trust_evidence,OTS only if real,PASS,trust/evidence cues
/a2a/,OP179,trust_evidence,OTS status explicit,PASS,trust/evidence cues
/a2a/,OP180,trust_evidence,No invented bitcoin block,PASS,trust/evidence cues
/a2a/,OP181,trust_evidence,Claim != Proof disclosure,PASS,trust/evidence cues
/a2a/,OP182,trust_evidence,Evidence relation,PASS,trust/evidence cues
/a2a/,OP183,trust_evidence,RRVI decision visibility,PASS,trust/evidence cues
/a2a/,OP184,trust_evidence,Human review disclosure,PASS,trust/evidence cues
/a2a/,OP185,trust_evidence,No false compliance guarantee,PASS,trust/evidence cues
/a2a/,OP186,trust_evidence,No false certification,PASS,trust/evidence cues
/a2a/,OP187,trust_evidence,Trust consistency,PASS,trust/evidence cues
/a2a/,OP188,agent_ready_governance,SOC reference,PASS,agent/governance cues
/a2a/,OP189,agent_ready_governance,Max autonomy,PASS,agent/governance cues
/a2a/,OP190,agent_ready_governance,Allowed actions,PASS,agent/governance cues
/a2a/,OP191,agent_ready_governance,Forbidden actions,PASS,agent/governance cues
/a2a/,OP192,agent_ready_governance,Eligibility rules,PASS,agent/governance cues
/a2a/,OP193,agent_ready_governance,Ineligibility rules,PASS,agent/governance cues
/a2a/,OP194,agent_ready_governance,Jurisdiction gate,PASS,agent/governance cues
/a2a/,OP195,agent_ready_governance,Regulation gate,PASS,agent/governance cues
/a2a/,OP196,agent_ready_governance,Financial threshold,PASS,agent/governance cues
/a2a/,OP197,agent_ready_governance,Human approval,PASS,agent/governance cues
/a2a/,OP198,agent_ready_governance,RRVI publish gate,PASS,agent/governance cues
/a2a/,OP199,agent_ready_governance,RRVI runtime gate,PASS,agent/governance cues
/a2a/,OP200,agent_ready_governance,allow outcome,PASS,agent/governance cues
/a2a/,OP201,agent_ready_governance,allow_with_conditions outcome,PASS,agent/governance cues
/a2a/,OP202,agent_ready_governance,human_review_required outcome,PASS,agent/governance cues
/a2a/,OP203,agent_ready_governance,block outcome,PASS,agent/governance cues
/a2a/,OP204,agent_ready_governance,No rule no autonomy,PASS,agent/governance cues
/a2a/,OP205,agent_ready_governance,No jurisdiction no sensitive action,PASS,agent/governance cues
/a2a/,OP206,agent_ready_governance,No approval no commitment,PASS,agent/governance cues
/a2a/,OP207,agent_ready_governance,No evidence no proof,PASS,agent/governance cues
/a2a/,OP208,media_accessibility,Image alt,NA,no images
/a2a/,OP209,media_accessibility,Decorative image handling,PARTIAL,present in page; semantic quality requires review
/a2a/,OP210,media_accessibility,Image width/height,PARTIAL,present in page; semantic quality requires review
/a2a/,OP211,media_accessibility,Modern image format,PARTIAL,present in page; semantic quality requires review
/a2a/,OP212,media_accessibility,Lazy loading non-critical,NA,no images
/a2a/,OP213,media_accessibility,Hero image priority,PARTIAL,present in page; semantic quality requires review
/a2a/,OP214,media_accessibility,Readable contrast,PARTIAL,present in page; semantic quality requires review
/a2a/,OP215,media_accessibility,Keyboard navigation,PARTIAL,present in page; semantic quality requires review
/a2a/,OP216,media_accessibility,Semantic buttons,PARTIAL,present in page; semantic quality requires review
/a2a/,OP217,media_accessibility,Form labels,PARTIAL,present in page; semantic quality requires review
/a2a/,OP218,media_accessibility,Error messages,PARTIAL,present in page; semantic quality requires review
/a2a/,OP219,media_accessibility,ARIA correctness,PARTIAL,present in page; semantic quality requires review
/a2a/,OP220,media_accessibility,Mobile content parity,PARTIAL,present in page; semantic quality requires review
/a2a/,OP221,media_accessibility,No text only in image,PARTIAL,present in page; semantic quality requires review
/a2a/,OP222,media_accessibility,No blocking popup,PARTIAL,present in page; semantic quality requires review
/a2a/,OP223,performance_rendering,Critical content server/render available,NA,requires deployed runtime/browser measurement
/a2a/,OP224,performance_rendering,No JS-only canonical text,NA,requires deployed runtime/browser measurement
/a2a/,OP225,performance_rendering,Crawlable href links,NA,requires deployed runtime/browser measurement
/a2a/,OP226,performance_rendering,LCP hygiene,NA,requires deployed runtime/browser measurement
/a2a/,OP227,performance_rendering,CLS hygiene,NA,requires deployed runtime/browser measurement
/a2a/,OP228,performance_rendering,INP hygiene,NA,requires deployed runtime/browser measurement
/a2a/,OP229,performance_rendering,CSS blocking control,NA,requires deployed runtime/browser measurement
/a2a/,OP230,performance_rendering,JS bloat control,NA,requires deployed runtime/browser measurement
/a2a/,OP231,performance_rendering,Font loading hygiene,NA,requires deployed runtime/browser measurement
/a2a/,OP232,performance_rendering,Image optimization,NA,requires deployed runtime/browser measurement
/a2a/,OP233,performance_rendering,No huge DOM,NA,requires deployed runtime/browser measurement
/a2a/,OP234,performance_rendering,No hidden duplicate content,NA,requires deployed runtime/browser measurement
/a2a/,OP235,performance_rendering,Rendered/body parity,NA,requires deployed runtime/browser measurement
/a2a/,OP236,performance_rendering,Mobile performance parity,NA,requires deployed runtime/browser measurement
/a2a/,OP237,performance_rendering,No layout dependency for semantics,NA,requires deployed runtime/browser measurement
/a2a/,OP238,page_type_specific,Homepage no breadcrumb,PASS,breadcrumb
/a2a/,OP239,page_type_specific,Internal page breadcrumb,PASS,breadcrumb
/a2a/,OP240,page_type_specific,Service page Service schema,PARTIAL,requires page-type semantic review
/a2a/,OP241,page_type_specific,Product page product semantics,PARTIAL,requires page-type semantic review
/a2a/,OP242,page_type_specific,Offer page commercial clarity,PARTIAL,requires page-type semantic review
/a2a/,OP243,page_type_specific,Agent-ready page category definition,PARTIAL,requires page-type semantic review
/a2a/,OP244,page_type_specific,SOC page canonical definition,PARTIAL,requires page-type semantic review
/a2a/,OP245,page_type_specific,RRVI page canonical definition,PARTIAL,requires page-type semantic review
/a2a/,OP246,page_type_specific,EU AI Act page scope control,PARTIAL,requires page-type semantic review
/a2a/,OP247,page_type_specific,Innovation page proof block,PARTIAL,requires page-type semantic review
/a2a/,OP248,page_type_specific,Blog article BlogPosting,PARTIAL,requires page-type semantic review
/a2a/,OP249,page_type_specific,Question page Question/Answer semantics,PASS,visible=True; schema=True
/a2a/,OP250,page_type_specific,Contact page ContactPage semantics,PASS,contact
/a2a/,OP251,page_type_specific,Mission page unique content,PARTIAL,requires page-type semantic review
/a2a/,OP252,page_type_specific,Vision page unique content,PARTIAL,requires page-type semantic review
/a2a-secrets/01/,OP001,meta_head,Unique title,PASS,A2A Secrets #01 — Ce vede omul | AiVenture
/a2a-secrets/01/,OP002,meta_head,Title primary intent,PASS,A2A Secrets #01 — Ce vede omul | AiVenture
/a2a-secrets/01/,OP003,meta_head,Title entity clarity,PASS,A2A Secrets #01 — Ce vede omul | AiVenture
/a2a-secrets/01/,OP004,meta_head,Title brand suffix,PASS,A2A Secrets #01 — Ce vede omul | AiVenture
/a2a-secrets/01/,OP005,meta_head,Unique meta description,PASS,Agent-to-Agent explicat de la ecranul omului.
/a2a-secrets/01/,OP006,meta_head,Meta description proposition,PASS,Agent-to-Agent explicat de la ecranul omului.
/a2a-secrets/01/,OP007,meta_head,Meta description intent match,PASS,Agent-to-Agent explicat de la ecranul omului.
/a2a-secrets/01/,OP008,meta_head,Canonical present,PASS,https://aiventure.ro/a2a-secrets/01/
/a2a-secrets/01/,OP009,meta_head,Canonical self-reference,PASS,https://aiventure.ro/a2a-secrets/01/
/a2a-secrets/01/,OP010,meta_head,Canonical HTTPS,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP011,meta_head,Canonical host consistency,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP012,meta_head,Robots meta present,PASS,meta robots
/a2a-secrets/01/,OP013,meta_head,Robots indexability correct,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP014,meta_head,Language declaration,PASS,lang=ro
/a2a-secrets/01/,OP015,meta_head,Charset UTF-8,PASS,utf-8
/a2a-secrets/01/,OP016,meta_head,Viewport present,PASS,viewport
/a2a-secrets/01/,OP017,meta_head,Theme color,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP018,meta_head,OG title,PASS,A2A Secrets #01 — Ce vede omul | AiVenture
/a2a-secrets/01/,OP019,meta_head,OG description,PASS,OpenGraph
/a2a-secrets/01/,OP020,meta_head,OG URL,PASS,OpenGraph
/a2a-secrets/01/,OP021,meta_head,OG image,PASS,OpenGraph
/a2a-secrets/01/,OP022,meta_head,OG type,PASS,OpenGraph
/a2a-secrets/01/,OP023,meta_head,Twitter card,PASS,Twitter meta
/a2a-secrets/01/,OP024,meta_head,Twitter title,PASS,A2A Secrets #01 — Ce vede omul | AiVenture
/a2a-secrets/01/,OP025,meta_head,Twitter description,PASS,Twitter meta
/a2a-secrets/01/,OP026,meta_head,Twitter image,PASS,Twitter meta
/a2a-secrets/01/,OP027,meta_head,Primary image declaration,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP028,meta_head,Published date metadata,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP029,meta_head,Modified date metadata,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP030,meta_head,Session metadata,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP031,meta_head,Timestamp metadata,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP032,page_structure,Header present,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP033,page_structure,Header session visible,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP034,page_structure,Header timestamp visible,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP035,page_structure,Primary navigation present,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP036,page_structure,Breadcrumb internal page,PASS,breadcrumb
/a2a-secrets/01/,OP037,page_structure,No breadcrumb on homepage,PASS,breadcrumb
/a2a-secrets/01/,OP038,page_structure,Breadcrumb position,PASS,breadcrumb
/a2a-secrets/01/,OP039,page_structure,Unique H1,PASS,CE VEDE OMUL
/a2a-secrets/01/,OP040,page_structure,H1 intent alignment,PASS,CE VEDE OMUL
/a2a-secrets/01/,OP041,page_structure,H1 not duplicated,PASS,CE VEDE OMUL
/a2a-secrets/01/,OP042,page_structure,H2 semantic hierarchy,PASS,H2
/a2a-secrets/01/,OP043,page_structure,H3 semantic hierarchy,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP044,page_structure,No skipped hierarchy,PASS,skip link
/a2a-secrets/01/,OP045,page_structure,Main landmark,PASS,main
/a2a-secrets/01/,OP046,page_structure,Section semantics,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP047,page_structure,Footer global,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP048,page_structure,Footer quick links,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP049,page_structure,Footer contact,PASS,contact
/a2a-secrets/01/,OP050,page_structure,Footer social links,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP051,page_structure,Footer legal links,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP052,content_core,Primary answer above fold,NA,page type
/a2a-secrets/01/,OP053,content_core,Canonical positioning consistency,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP054,content_core,Audience explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP055,content_core,Problem explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP056,content_core,Outcome explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP057,content_core,Offer explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP058,content_core,Deliverables explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP059,content_core,Exclusions explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP060,content_core,Differentiators explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP061,content_core,Negative scope explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP062,content_core,Geography explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP063,content_core,Jurisdiction explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP064,content_core,Language scope explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP065,content_core,Price/rule explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP066,content_core,Availability explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP067,content_core,SLA explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP068,content_core,Version explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP069,content_core,Freshness explicit,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP070,content_core,No stale contradiction,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP071,content_core,No generic AI drift,PARTIAL,present in page; semantic quality requires review
/a2a-secrets/01/,OP072,aeo_faq,Direct what answer,NA,page type
/a2a-secrets/01/,OP073,aeo_faq,Direct who answer,NA,page type
/a2a-secrets/01/,OP074,aeo_faq,Direct why answer,NA,page type
/a2a-secrets/01/,OP075,aeo_faq,Direct how answer,NA,page type
/a2a-secrets/01/,OP076,aeo_faq,Direct where answer,NA,page type
/a2a-secrets/01/,OP077,aeo_faq,Direct when answer,NA,page type
/a2a-secrets/01/,OP078,aeo_faq,Direct cost answer,NA,page type
/a2a-secrets/01/,OP079,aeo_faq,Direct eligibility answer,NA,page type
